English, Finnish, Minä, Sinä, Hän / Se, Me, Te, He,
to drive, ajaa, ajan, ajat, ajaa, ajamme, ajatte, ajavat,
to give, antaa, annan, annat, antaa, annamme, annatte, antavat,
to help, auttaa, autan, autat, auttaa, autamme, autatte, auttavat,
to look for, etsiä, etsin, etsit, etsii, etsimme, etsitte, etsivät,
to sit, istua, istun, istut, istuu, istumme, istutte, istuvat,
to continue, jatkua, jaktun, jatkut, jatkuu, jatkumme, jatkutte, jatkuvat,
to celebrate, juhlia, juhlin, juhlit, juhlii, juhlimme, juhlitte, juhlivat,
to look / watch, katsoa, katson, katsot, katsoo, katsomme, katsotte, katsovat,
to write, kirjoittaa, kirjoitan, kirjoitat, kirjoittaa, kirjoitamme, kirjoitatte, kirjoittavat,
to read, lukea, luen, luet, lukee, luemme, luette, lukevat,
to travel, matkustaa, matkustan, matkustat, matkustaa, matkustamme, matkustatte, matkustavat,
to remember, muistaa, muistan, muistat, muistaa, muistamme, muistatte, muistavat, 
to sleep, nukkua, nukun, nukut, nukkuu, nukumme, nukutte, nukkuvat,
to wait, odottaa, odotan, odotat, odottaa, odotamme, odotatte, odotavat,
to buy, ostaa, ostan, ostat, ostaa, ostamme, ostatte, ostavat,
to take, ottaa, otan, otat, ottaa, otamme, otatte, ottavat,
to speak, puhua, puhun, puhut, puhuu, puhumme, puhutte, puhuvat,
to arrive, saapua, saavun, saavut, saapuu, saavumme, saavutte, saapuvat,
to save, säästää, säästän, säästät, säästää, säästämme, säästätte, säästävät,
to say, sanoa, sanon, sanot, sanoo, sanomme, sanotte, sanovat,
to fit, sopia, sovin, sovit, sopii, sovimme, sovitte, sopivat,
to play, soittaa, soitan, soitan, soittaa, soitamme, soitatte, soittavat,
to close, sulkea, suljen, suljet, sulkee, suljemme, suljette, sulkevat,
to know, tietää, tiedän, tiedät, tietää, tiedämme, tiedätte, tietävät,
to love, rakastaa, rakastan, rakastat, rakastaa, rakastamme, rakastatte, rakastavat,
to forget, unohtaa, unohdan, unohdat, unohtaa, unohdamme, unohdatte, unohdavat,
to loan, lainata, lainaan, lainaat, lainaa, lainatamme, lainatatte, lainatavat,
to drink, juoda, juon, juot, juo, juomme, juotte, juovat,
to eat, syödä, syön, syöt, syö, syömme, syötte, syövät,
to be, olla, olen, olet, on, olemme, olette, ovat,
to grow, kasvaa, kasvan, kasvat, kasvaa, kasvamme, kasvatte, kasavat,
to like, haluata, haluan, haluat, haluaa, haluamme, haluatte, haluavat,
to run, juosta, juoksen, juokset, juoksee, juoksemme, juoksette, juoksevat,
to use, käyttää, käytän, käytät, käyttää, käytämme, käytätte, käyttävät,
